case_id,model,family,section,ground_truth,prediction,prediction_normalized,differentials,category,justification
19028.0,DeepSeek-R1,open_large,Abdominal imaging,Intrahepatic splenosis,Hepatocellular carcinoma,hepatocellular carcinoma,"Atypical haemangioma, Liver adenoma, Hepatocellular carcinoma, Intrahepatic splenosis, Accessory spleen, Metastasis",c,"The prediction ""Hepatocellular carcinoma"" is a plausible differential diagnosis that was on the provided list, as intrahepatic lesions can mimic hepatocellular carcinoma on imaging, but it is incorrect since the ground truth is intrahepatic splenosis."
19038.0,DeepSeek-R1,open_large,Cardiovascular,Saw-tooth cardiomyopathy,Left ventricular noncompaction,left ventricular noncompaction,"Left ventricular noncompaction, Saw-tooth cardiomyopathy, Hypertrophic cardiomyopathy, Arrhythmogenic cardiomyopathy",c,"The prediction ""Left ventricular noncompaction"" is a plausible differential diagnosis that was on the provided list, but the correct answer was ""Saw-tooth cardiomyopathy,"" making this a clinically defensible but incorrect choice."
19041.0,DeepSeek-R1,open_large,Musculoskeletal system,Split hand/split foot malformation (SHFM),Roberts syndrome,roberts syndrome,"Syndactyla, Roberts syndrome, Split hand/split foot malformation (SHFM), Ectrodactyly-ectodermal dysplasia-cleft lip and palate (EEC), Amniotic band sequence, Lacrimo-Auriculo-dento-digital syndrome (LADD)",c,"The prediction ""Roberts syndrome"" is a plausible differential diagnosis that was on the provided list, involving limb malformations, but is incorrect as the ground truth is ""Split hand/split foot malformation (SHFM)."""
19050.0,DeepSeek-R1,open_large,Breast imaging,Mammary tuberculosis,Idiopathic granulomatous mastitis,idiopathic granulomatous mastitis,"Breast carcinoma, Plasma cell mastitis, Idiopathic granulomatous mastitis, Mammary tuberculosis, Actinomycosis",c,"The prediction ""Idiopathic granulomatous mastitis"" is a plausible differential diagnosis on the provided list, as both it and mammary tuberculosis present as granulomatous inflammation of the breast, but it is the wrong specific diagnosis."
19058.0,DeepSeek-R1,open_large,Abdominal imaging,Intraductal papillary neoplasm of the bile duct with low-grade dysplasia,Cholangiocarcinoma,cholangiocarcinoma,"Intraductal papillary neoplasm of the bile duct, Intraductal papillary neoplasm of the bile duct with low-grade dysplasia, Cholangiocarcinoma, Intraductal biliary metastasis",c,"The model selected ""Cholangiocarcinoma,"" which was on the provided differential diagnosis list and is a plausible but incorrect diagnosis for a biliary lesion that was actually an intraductal papillary neoplasm with low-grade dysplasia."
19067.0,DeepSeek-R1,open_large,Paediatric radiology,Cystic pulmonary tuberculosis,Langerhans cell histiocytosis,langerhans cell histiocytosis,"Pneumocystis jirovecii pneumonia, Lymphoid interstitial pneumonia, Langerhans cell histiocytosis, Cystic pulmonary tuberculosis, Lymphangioleiomyomatosis, Birt–Hogg–Dubé syndrome",c,"The prediction ""Langerhans cell histiocytosis"" is a plausible differential diagnosis that was on the provided list and can present with cystic lung disease, but it is incorrect as the ground truth is ""Cystic pulmonary tuberculosis."""
19070.0,DeepSeek-R1,open_large,Musculoskeletal system,Clear cell soft tissue sarcoma with melanocytic differentiation,Pigment villonodular synovitis with malignant transformation,pigment villonodular synovitis with malignant transformation,"Clear cell sarcoma, Malignant melanoma, Clear cell soft tissue sarcoma with melanocytic differentiation, Pigment villonodular synovitis with malignant transformation, Synovial sarcoma, Alveolar soft part sarcoma, Malignant peripheral nerve sheath tumour",c,"The prediction ""Pigment villonodular synovitis with malignant transformation"" is a plausible differential diagnosis that was on the provided list, but is incorrect; the correct diagnosis was ""Clear cell soft tissue sarcoma with melanocytic differentiation."""
19101.0,DeepSeek-R1,open_large,Neuroradiology,Neuro-Behçet’s disease,Aquaporin-4 IgG-positive neuromyelitis optica spectrum disorders (AQP4-NMOSD),aquaporin-4 igg-positive neuromyelitis optica spectrum disorders aqp4-nmosd,"Multiple sclerosis, Neuro-Behçet’s disease, Aquaporin-4 IgG-positive neuromyelitis optica spectrum disorders (AQP4-NMOSD), Myelin oligodendrocyte glycoprotein antibody disease (MOGAD), Neurosarcoidosis",c,"The prediction ""Aquaporin-4 IgG-positive neuromyelitis optica spectrum disorders (AQP4-NMOSD)"" is a plausible differential diagnosis that was on the provided list, but the correct answer was Neuro-Behçet's disease."
19110.0,DeepSeek-R1,open_large,Others,Inflammatory myofibroblastic tumour,Retroperitoneal myxoid liposarcoma,retroperitoneal myxoid liposarcoma,"Ovarian epithelial cystadenoma, Ovarian epithelial cystadenocarcinoma, Hydrosalpinx, Inflammatory myofibroblastic tumour, Cystic mature teratoma, Retroperitoneal myxoid liposarcoma, Multicystic lymphangioma",c,"The prediction ""Retroperitoneal myxoid liposarcoma"" is a plausible differential diagnosis that was on the provided list, but is incorrect; both are soft tissue tumors that could present similarly, making the model's reasoning clinically defensible but wrong."
19114.0,DeepSeek-R1,open_large,Neuroradiology,Rosette-forming glioneuronal tumour (RGNT),Ependymoma,ependymoma,"Pilocytic astrocytoma, Ependymoma, Dysembryoplastic neuroepithelial tumour (DNET), Rosette-forming glioneuronal tumour (RGNT), Ganglioglioma, Medulloblastoma",c,"The prediction ""Ependymoma"" is a plausible differential diagnosis that was on the provided list, as ependymomas can form rosettes and occur in similar CNS locations as RGNT, but it is the wrong specific diagnosis."
19116.0,DeepSeek-R1,open_large,Others,Mixed malignant ovarian germ cell tumour,Dysgerminoma,dysgerminoma,"Dysgerminoma, Yolk sac tumour, Juvenile granulosa cell tumour, Mixed malignant ovarian germ cell tumour, Sertoli–Leydig cell tumour, Immature teratoma",c,"The prediction ""Dysgerminoma"" is a plausible differential diagnosis that was on the provided list, but the correct answer is ""Mixed malignant ovarian germ cell tumour,"" which may contain dysgerminoma as a component but represents a distinct diagnostic entity."
19138.0,DeepSeek-R1,open_large,Musculoskeletal system,Chondroblastic osteosarcoma,Classical osteosarcoma,classical osteosarcoma,"Chondrosarcoma, Chondroblastoma, Chondroblastic osteosarcoma, Classical osteosarcoma",c,"The prediction ""Classical osteosarcoma"" is a plausible differential diagnosis that was on the provided list, but the correct answer was the more specific ""Chondroblastic osteosarcoma"" subtype; both are osteosarcomas, and the model's choice was clinically defensible but wrong."
19140.0,DeepSeek-R1,open_large,Musculoskeletal system,Infection by Mycobacterium avium,Infection by Mycobacterium tuberculosis,infection by mycobacterium tuberculosis,"Infection by Mycobacterium avium, Infection by Mycobacterium tuberculosis, Pyogenic arthritis, Inflammatory arthritis",c,"The prediction ""Infection by Mycobacterium tuberculosis"" is a plausible differential diagnosis that was on the provided list, but is incorrect; both are mycobacterial infections, and the model chose the wrong species."
19141.0,DeepSeek-R1,open_large,Neuroradiology,Anaplastic meningioma (WHO Grade III),Haemorrhagic meningioma,haemorrhagic meningioma,"Subacute subdural haematoma, Dural metastasis, Haemorrhagic meningioma, Anaplastic meningioma (WHO Grade III), Lymphoma involving the dura, Infective pachymeningitis",c,"The prediction ""Haemorrhagic meningioma"" is a plausible differential diagnosis that was on the provided list, but is incorrect; both are meningioma subtypes, yet the model selected the wrong specific entity from the available options."
19149.0,DeepSeek-R1,open_large,Paediatric radiology,MASA syndrome,Tubulinopathy,tubulinopathy,"Rhombencephalosynapsis, MASA syndrome, Chiari type II malformation, Tubulinopathy, α-dystroglycanopathies (and Walker–Warburg syndrome), Acquired causes of congenital aqueductal stenosis",c,"The prediction ""Tubulinopathy"" is a plausible differential diagnosis that was on the provided list, but is incorrect; the correct answer is ""MASA syndrome."""
19158.0,DeepSeek-R1,open_large,Paediatric radiology,"Paediatric-type diffuse low-grade glioma, MAP kinase pathway altered (FGFR1::TACC1 fusion)",Dysplastic cerebellar gangliocytoma,dysplastic cerebellar gangliocytoma,"Dysplastic cerebellar gangliocytoma, Pilocytic astrocytoma, Paediatric-type diffuse low-grade glioma, MAP kinase pathway altered (FGFR1::TACC1 fusion), Oligodendroglioma-like tumour",c,"The prediction ""Dysplastic cerebellar gangliocytoma"" is a plausible differential diagnosis that was on the provided list, but is incorrect; the correct answer was ""Paediatric-type diffuse low-grade glioma, MAP kinase pathway altered (FGFR1::TACC1 fusion)."""
19161.0,DeepSeek-R1,open_large,Musculoskeletal system,Mycobacterium kansasii tenosynovitis,Tuberculous tenosynovitis,tuberculous tenosynovitis,"Rheumatoid arthritis, Juvenile idiopathic arthritis, Adult Still’s disease, Tuberculous tenosynovitis, Mycobacterium kansasii tenosynovitis, Atypical mycobacterial infection (Mycobacterium marinum), Bacterial tenosynovitis, Fungal infections",c,"The prediction ""Tuberculous tenosynovitis"" is a plausible differential diagnosis on the provided list, but the correct answer is ""Mycobacterium kansasii tenosynovitis,"" a different mycobacterial species causing tenosynovitis."
19163.0,DeepSeek-R1,open_large,Neuroradiology,"Sturge–Weber syndrome, type 1",Sturge–Weber syndrome,sturge-weber syndrome,"Meningioangiomatosis, Blue rubber bleb nevus syndrome, Wyburn-Mason syndrome, Sturge–Weber syndrome, type 1, PHACE syndrome",a,"The prediction ""Sturge–Weber syndrome"" is clinically the same condition as the ground truth ""Sturge–Weber syndrome, type 1,"" differing only in the omission of the subtype specification, making it a surface form mismatch."
18813.0,gpt-oss-20b (H),on_device_base,Cardiovascular,Primary cardiac lymphoma,Angiosarcoma,angiosarcoma,"Angiosarcoma, Ig-G4 related disease, Primary cardiac lymphoma, Erdheim–Chester disease, Undifferentiated pleomorphic sarcoma",b,"The prediction ""angiosarcoma"" is in the same disease family (primary cardiac tumors) as the ground truth ""primary cardiac lymphoma"" but is the wrong specific entity."
18836.0,gpt-oss-20b (H),on_device_base,Paediatric radiology,"OEIS (omphalocele, cloacal exstrophy, imperforate anus, and spinal dysraphism) complex",OEIS (omphalocele,oeis omphalocele,"VACTERL association, Caudal regression syndrome, Pentalogy of Cantrell, Beckwith-Wiedemann syndrome, OEIS (omphalocele, cloacal exstrophy, imperforate anus, and spinal dysraphism) complex",a,"The model correctly identified OEIS complex but its output was truncated, capturing only the beginning of the full name ""OEIS (omphalocele"" rather than the complete term, making it a surface-level mismatch due to incomplete text generation."
18878.0,gpt-oss-20b (H),on_device_base,Paediatric radiology,Metastatic pro-B type acute lymphoblastic leukaemia,Lymphoma,lymphoma,"Metastatic pro-B type acute lymphoblastic leukaemia, Lymphoma, Primary visceral organ malignancies, Sarcoidosis",c,"The prediction ""Lymphoma"" is a plausible differential diagnosis that was explicitly on the provided list, but the correct answer was ""Metastatic pro-B type acute lymphoblastic leukaemia."""
18897.0,gpt-oss-20b (H),on_device_base,Musculoskeletal system,Central/low-grade osteosarcoma,Liposarcoma,liposarcoma,"Central/low-grade osteosarcoma, Giant cell tumour, Aneurysmal bone cyst, Metastasis, Liposarcoma, Fibrous dysplasia",c,"The prediction ""Liposarcoma"" is a plausible differential diagnosis that was on the provided list, but is incorrect, as the correct diagnosis was ""Central/low-grade osteosarcoma."""
18899.0,gpt-oss-20b (H),on_device_base,Paediatric radiology,Pyometrocolpos,Hydrometrocolpos,hydrometrocolpos,"Pyometrocolpos, Hematometrocolpos, Hydrometrocolpos, Distended urinary bladder, Ovarian neoplasm",b,"The prediction ""Hydrometrocolpos"" is in the same disease family as the ground truth ""Pyometrocolpos"" (both involve fluid distension of the uterus and vagina), but specifies the wrong type of fluid collection (watery vs. purulent)."
18906.0,gpt-oss-20b (H),on_device_base,Neuroradiology,Calcified pseudoneoplasm of the neuraxis,Calcified cavernoma,calcified cavernoma,"Calcified meningioma, Calcified cavernoma, Calcified pseudoneoplasm of the neuraxis, Oligodendrogliomas, Choroid plexus papilloma",c,"The prediction ""Calcified cavernoma"" is a plausible differential diagnosis that was on the provided list, but is incorrect, as the correct answer is ""Calcified pseudoneoplasm of the neuraxis."""
18919.0,gpt-oss-20b (H),on_device_base,Abdominal imaging,Lymphoepithelial cysts of the pancreas,Mucinous cystic neoplasm,mucinous cystic neoplasm,"Intraductal papillary mucinous neoplasm, Mucinous cystic neoplasm, Lymphoepithelial cysts of the pancreas, Serous cystic neoplasm, Pancreatic pseudocyst, Epidermoid cyst",c,"The prediction ""Mucinous cystic neoplasm"" is a plausible differential diagnosis that was on the provided list, as both it and lymphoepithelial cysts are pancreatic cystic lesions, but it is the wrong specific diagnosis."
18925.0,gpt-oss-20b (H),on_device_base,Breast imaging,Myoid hamartoma of the breast (MHB),Phyllodes tumour,phyllodes tumour,"Fibroadenoma, Galactocele, Phyllodes tumour, Leiomyosarcoma, Adenomyoepithelioma, Myoid hamartoma of the breast (MHB), Breast carcinoma",c,"The prediction ""Phyllodes tumour"" is a plausible differential diagnosis that was on the provided list, but is incorrect, as the ground truth is ""Myoid hamartoma of the breast (MHB)."""
18927.0,gpt-oss-20b (H),on_device_base,Head & neck imaging,Skull base chondrosarcoma,Giant cell tumour of the skull base,giant cell tumour of the skull base,"Skull base chordoma, Skull base chondrosarcoma, Skull base paraganglioma, Giant cell tumour of the skull base, Langerhans cell histiocytosis of the skull base",c,"The prediction ""Giant cell tumour of the skull base"" is a plausible differential diagnosis that was on the provided list, but is incorrect; the correct answer is ""Skull base chondrosarcoma."""
18948.0,gpt-oss-20b (H),on_device_base,Abdominal imaging,Myelolipoma,Hibernoma,hibernoma,"Liposarcoma, Hibernoma, Haemangioma, Myelolipoma, Fat necrosis",c,"The prediction ""Hibernoma"" is a plausible differential diagnosis that was on the provided list, but is incorrect; both hibernoma and myelolipoma are fat-containing soft tissue lesions that can appear similar on imaging, making this a clinically defensible but wrong choice."
18950.0,gpt-oss-20b (H),on_device_base,Paediatric radiology,Cochlear incomplete partition type III (IP-3),Cochlear incomplete partition type II (IP-2),cochlear incomplete partition type ii ip-2,"Cochlear incomplete partition type I (IP-1), Cochlear incomplete partition type II (IP-2), Cochlear incomplete partition type III (IP-3)",b,"The prediction ""Cochlear incomplete partition type II (IP-2)"" is in the same disease family (cochlear incomplete partition) as the ground truth ""Cochlear incomplete partition type III (IP-3)"" but is the wrong specific subtype."
18951.0,gpt-oss-20b (H),on_device_base,Cardiovascular,"Biventricular endomyocardial fibrosis [4,6]",Biventricular endomyocardial fibrosis [4,biventricular endomyocardial fibrosis 4,"Apical hypertrophic cardiomyopathy [9], Cardiac amyloidosis [10], Ebstein’s anomaly [11], Left ventricular endomyocardial fibrosis [4,6], Right ventricular endomyocardial fibrosis [4,6], Biventricular endomyocardial fibrosis [4,6]",a,"The prediction ""Biventricular endomyocardial fibrosis [4"" is a truncated version of the correct answer ""Biventricular endomyocardial fibrosis [4,6]"" and identifies the same condition, differing only due to incomplete text capture."
18993.0,gpt-oss-20b (H),on_device_base,Abdominal imaging,Primary hepatic adenosarcoma,Hepatic cholangiocarcinoma,hepatic cholangiocarcinoma,"Hepatic cholangiocarcinoma, Primary hepatic adenosarcoma, Undifferentiated carcinoma (also known as sarcomatoid carcinoma), Hepatic fibroadenoma",c,"The prediction ""Hepatic cholangiocarcinoma"" is a plausible differential diagnosis that was on the provided list, but is incorrect, as the ground truth is ""Primary hepatic adenosarcoma."""
19001.0,gpt-oss-20b (H),on_device_base,Breast imaging,Burkitt lymphoma,Metastatic disease,metastatic disease,"Metastatic disease, Primary ovarian malignancy, Burkitt lymphoma, Other aggressive lymphoma",c,"The prediction ""Metastatic disease"" is a plausible differential diagnosis that was on the provided list, but is incorrect as the ground truth is ""Burkitt lymphoma."""
19002.0,gpt-oss-20b (H),on_device_base,Paediatric radiology,Retroperitoneal ganglioneuroblastoma-intermixed,Ganglioneuroma,ganglioneuroma,"Ganglioneuroma, Neuroblastoma, Retroperitoneal ganglioneuroblastoma-intermixed, Peripheral nerve sheath tumour, Paraganglioma",c,"The prediction ""Ganglioneuroma"" is a plausible differential diagnosis from the provided list, as it belongs to the same neuroblastic tumor spectrum as the ground truth ""Retroperitoneal ganglioneuroblastoma-intermixed,"" but it is the wrong specific entity."
19004.0,gpt-oss-20b (H),on_device_base,Others,Abdominopelvic actinomycosis,Peritoneal tuberculosis,peritoneal tuberculosis,"Peritoneal carcinomatosis, Peritoneal tuberculosis, Abdominopelvic actinomycosis, Primary ovarian cancer",c,"The prediction ""Peritoneal tuberculosis"" is a plausible differential diagnosis that was on the provided list, as both peritoneal tuberculosis and abdominopelvic actinomycosis can present with similar peritoneal/abdominal findings, but it is the wrong specific diagnosis."
19015.0,gpt-oss-20b (H),on_device_base,Chest imaging,Pulmonary amyloidosis,Malignant neoplasia,malignant neoplasia,"Malignant neoplasia, Metastatic, Rheumatoid nodules, Pulmonary amyloidosis, Fungal lesions, Lymphomas",c,"The prediction ""Malignant neoplasia"" is a plausible differential diagnosis that was on the provided list, but the correct diagnosis was ""Pulmonary amyloidosis."""
19022.0,gpt-oss-20b (H),on_device_base,Abdominal imaging,Vesico-appendiceal fistula,Vesico-intestinal fistula,vesico-intestinal fistula,"Vesico-appendiceal fistula, Vesico-intestinal fistula, Vesicovaginal fistula",c,"The prediction ""Vesico-intestinal fistula"" was a plausible differential diagnosis explicitly on the provided list, but the correct answer was the more specific ""Vesico-appendiceal fistula."""
19024.0,gpt-oss-20b (H),on_device_base,Chest imaging,Usual interstitial pneumonia secondary to connective tissue disorder,Usual interstitial pneumonia due to idiopathic pulmonary fibrosis,usual interstitial pneumonia due to idiopathic pulmonary fibrosis,"Usual interstitial pneumonia due to idiopathic pulmonary fibrosis, Usual interstitial pneumonia secondary to connective tissue disorder, Non-specific interstitial pneumonia, Lymphoid interstitial pneumonia",c,"The prediction ""Usual interstitial pneumonia due to idiopathic pulmonary fibrosis"" is a plausible differential diagnosis on the provided list that shares the same UIP pattern but attributes it to the wrong underlying etiology (idiopathic pulmonary fibrosis instead of connective tissue disorder)."
19028.0,gpt-oss-20b (H),on_device_base,Abdominal imaging,Intrahepatic splenosis,Hepatocellular carcinoma,hepatocellular carcinoma,"Atypical haemangioma, Liver adenoma, Hepatocellular carcinoma, Intrahepatic splenosis, Accessory spleen, Metastasis",c,"The prediction ""Hepatocellular carcinoma"" is a plausible differential diagnosis that was on the provided list, as intrahepatic lesions can mimic hepatocellular carcinoma on imaging, but it is incorrect compared to the ground truth of ""Intrahepatic splenosis."""
19038.0,gpt-oss-20b (H),on_device_base,Cardiovascular,Saw-tooth cardiomyopathy,Left ventricular noncompaction,left ventricular noncompaction,"Left ventricular noncompaction, Saw-tooth cardiomyopathy, Hypertrophic cardiomyopathy, Arrhythmogenic cardiomyopathy",c,"The prediction ""Left ventricular noncompaction"" is a plausible differential diagnosis that was on the provided list, but the correct answer was ""Saw-tooth cardiomyopathy,"" making this a clinically defensible but incorrect choice."
19041.0,gpt-oss-20b (H),on_device_base,Musculoskeletal system,Split hand/split foot malformation (SHFM),Roberts syndrome,roberts syndrome,"Syndactyla, Roberts syndrome, Split hand/split foot malformation (SHFM), Ectrodactyly-ectodermal dysplasia-cleft lip and palate (EEC), Amniotic band sequence, Lacrimo-Auriculo-dento-digital syndrome (LADD)",c,"The prediction ""Roberts syndrome"" is a plausible differential diagnosis that was on the provided list and involves limb malformations, but it is the wrong specific diagnosis compared to the ground truth ""Split hand/split foot malformation (SHFM)."""
19044.0,gpt-oss-20b (H),on_device_base,Neuroradiology,Chorea-acanthocytosis,Huntington’s disease,huntingtons disease,"Chorea-acanthocytosis, Huntington’s disease, Neuroacanthocytosis syndrome",c,"The prediction ""Huntington's disease"" is a plausible differential diagnosis that was on the provided list and shares overlapping clinical features (chorea) with the ground truth ""Chorea-acanthocytosis,"" but is the wrong specific diagnosis."
19050.0,gpt-oss-20b (H),on_device_base,Breast imaging,Mammary tuberculosis,Breast carcinoma,breast carcinoma,"Breast carcinoma, Plasma cell mastitis, Idiopathic granulomatous mastitis, Mammary tuberculosis, Actinomycosis",c,"The prediction ""Breast carcinoma"" is a plausible differential diagnosis that was on the provided list, as breast masses can clinically mimic tuberculosis, but it is the wrong diagnosis."
19058.0,gpt-oss-20b (H),on_device_base,Abdominal imaging,Intraductal papillary neoplasm of the bile duct with low-grade dysplasia,Cholangiocarcinoma,cholangiocarcinoma,"Intraductal papillary neoplasm of the bile duct, Intraductal papillary neoplasm of the bile duct with low-grade dysplasia, Cholangiocarcinoma, Intraductal biliary metastasis",c,"The prediction ""Cholangiocarcinoma"" is a plausible differential diagnosis that was on the provided list, but is incorrect; the correct answer was a precursor lesion (intraductal papillary neoplasm with low-grade dysplasia) rather than an invasive malignancy."
19067.0,gpt-oss-20b (H),on_device_base,Paediatric radiology,Cystic pulmonary tuberculosis,Langerhans cell histiocytosis,langerhans cell histiocytosis,"Pneumocystis jirovecii pneumonia, Lymphoid interstitial pneumonia, Langerhans cell histiocytosis, Cystic pulmonary tuberculosis, Lymphangioleiomyomatosis, Birt–Hogg–Dubé syndrome",c,"The prediction ""Langerhans cell histiocytosis"" is a plausible differential diagnosis that was on the provided list and can present with cystic lung disease, but it is incorrect as the ground truth is ""Cystic pulmonary tuberculosis."""
19070.0,gpt-oss-20b (H),on_device_base,Musculoskeletal system,Clear cell soft tissue sarcoma with melanocytic differentiation,Malignant peripheral nerve sheath tumour,malignant peripheral nerve sheath tumour,"Clear cell sarcoma, Malignant melanoma, Clear cell soft tissue sarcoma with melanocytic differentiation, Pigment villonodular synovitis with malignant transformation, Synovial sarcoma, Alveolar soft part sarcoma, Malignant peripheral nerve sheath tumour",c,"The prediction ""Malignant peripheral nerve sheath tumour"" is a plausible differential diagnosis that was on the provided list, but is incorrect, as the ground truth is ""Clear cell soft tissue sarcoma with melanocytic differentiation."""
19080.0,gpt-oss-20b (H),on_device_base,Neuroradiology,Brachial plexus schwannomas,Neurofibromas,neurofibromas,"Neurofibromas, Brachial plexus schwannomas, Lymphoma, Brachial plexopathy, Metastases",c,"The prediction ""Neurofibromas"" is a plausible differential diagnosis on the provided list, as both neurofibromas and schwannomas are nerve sheath tumors that can appear similar on imaging, but it is the wrong specific diagnosis."
19086.0,gpt-oss-20b (H),on_device_base,Abdominal imaging,Oesophageal-vulvar syndrome,Lymphoma,lymphoma,"Lymphoma, Sarcoma, Benign mesenchymal tumour, Oesophageal-vulvar syndrome",c,"The prediction ""Lymphoma"" is a plausible differential diagnosis that was on the provided list, but the correct answer was ""Oesophageal-vulvar syndrome."""
19101.0,gpt-oss-20b (H),on_device_base,Neuroradiology,Neuro-Behçet’s disease,Aquaporin-4 IgG-positive neuromyelitis optica spectrum disorders (AQP4-NMOSD),aquaporin-4 igg-positive neuromyelitis optica spectrum disorders aqp4-nmosd,"Multiple sclerosis, Neuro-Behçet’s disease, Aquaporin-4 IgG-positive neuromyelitis optica spectrum disorders (AQP4-NMOSD), Myelin oligodendrocyte glycoprotein antibody disease (MOGAD), Neurosarcoidosis",c,"The prediction ""Aquaporin-4 IgG-positive neuromyelitis optica spectrum disorders (AQP4-NMOSD)"" is a plausible differential diagnosis that was on the provided list, but the correct answer was Neuro-Behçet's disease."
19110.0,gpt-oss-20b (H),on_device_base,Others,Inflammatory myofibroblastic tumour,Multicystic lymphangioma,multicystic lymphangioma,"Ovarian epithelial cystadenoma, Ovarian epithelial cystadenocarcinoma, Hydrosalpinx, Inflammatory myofibroblastic tumour, Cystic mature teratoma, Retroperitoneal myxoid liposarcoma, Multicystic lymphangioma",c,"The prediction ""Multicystic lymphangioma"" is a plausible differential diagnosis that was on the provided list, but is incorrect; both conditions can present as cystic masses, making the model's reasoning clinically defensible but wrong."
19116.0,gpt-oss-20b (H),on_device_base,Others,Mixed malignant ovarian germ cell tumour,Dysgerminoma,dysgerminoma,"Dysgerminoma, Yolk sac tumour, Juvenile granulosa cell tumour, Mixed malignant ovarian germ cell tumour, Sertoli–Leydig cell tumour, Immature teratoma",c,"The prediction ""Dysgerminoma"" is a plausible differential diagnosis that was on the provided list, but the correct answer was ""Mixed malignant ovarian germ cell tumour,"" which may contain dysgerminoma as a component but represents a distinct diagnostic entity."
19119.0,gpt-oss-20b (H),on_device_base,Paediatric radiology,B-cell acute lymphoblastic lymphoma (small round blue cell tumour),Ewing sarcoma (or other small round blue cell tumour),ewing sarcoma or other small round blue cell tumour,"Osteomyelitis, Osteosarcoma, B-cell acute lymphoblastic lymphoma (small round blue cell tumour), Ewing sarcoma (or other small round blue cell tumour), Langerhans cell histiocytosis, Occult fracture in the early stage",c,"The prediction ""Ewing sarcoma (or other small round blue cell tumour)"" is a plausible differential diagnosis from the provided list, as both it and the ground truth are small round blue cell tumours presenting in bone, but the model selected the wrong specific entity."
19138.0,gpt-oss-20b (H),on_device_base,Musculoskeletal system,Chondroblastic osteosarcoma,Classical osteosarcoma,classical osteosarcoma,"Chondrosarcoma, Chondroblastoma, Chondroblastic osteosarcoma, Classical osteosarcoma",c,"The prediction ""Classical osteosarcoma"" is a plausible differential diagnosis that was on the provided list, but the correct answer was the more specific ""Chondroblastic osteosarcoma"" subtype; both are osteosarcomas, and the model's choice was clinically defensible given overlapping features but ultimately wrong."
19140.0,gpt-oss-20b (H),on_device_base,Musculoskeletal system,Infection by Mycobacterium avium,Infection by Mycobacterium tuberculosis,infection by mycobacterium tuberculosis,"Infection by Mycobacterium avium, Infection by Mycobacterium tuberculosis, Pyogenic arthritis, Inflammatory arthritis",c,"The prediction ""Infection by Mycobacterium tuberculosis"" is a plausible differential diagnosis that was on the provided list, involving a closely related mycobacterial species, but is the wrong specific entity compared to the ground truth ""Infection by Mycobacterium avium."""
19141.0,gpt-oss-20b (H),on_device_base,Neuroradiology,Anaplastic meningioma (WHO Grade III),Haemorrhagic meningioma,haemorrhagic meningioma,"Subacute subdural haematoma, Dural metastasis, Haemorrhagic meningioma, Anaplastic meningioma (WHO Grade III), Lymphoma involving the dura, Infective pachymeningitis",c,"The prediction ""Haemorrhagic meningioma"" is a plausible differential diagnosis that was on the provided list, but is incorrect; both are meningioma subtypes, yet the model selected the wrong specific entity from the available options."
19149.0,gpt-oss-20b (H),on_device_base,Paediatric radiology,MASA syndrome,Tubulinopathy,tubulinopathy,"Rhombencephalosynapsis, MASA syndrome, Chiari type II malformation, Tubulinopathy, α-dystroglycanopathies (and Walker–Warburg syndrome), Acquired causes of congenital aqueductal stenosis",c,"The prediction ""Tubulinopathy"" is a plausible differential diagnosis that was on the provided list, but is incorrect; the correct answer is ""MASA syndrome."""
19158.0,gpt-oss-20b (H),on_device_base,Paediatric radiology,"Paediatric-type diffuse low-grade glioma, MAP kinase pathway altered (FGFR1::TACC1 fusion)",Pilocytic astrocytoma,pilocytic astrocytoma,"Dysplastic cerebellar gangliocytoma, Pilocytic astrocytoma, Paediatric-type diffuse low-grade glioma, MAP kinase pathway altered (FGFR1::TACC1 fusion), Oligodendroglioma-like tumour",c,"The prediction ""Pilocytic astrocytoma"" is a plausible differential diagnosis that was on the provided list, as both pilocytic astrocytoma and paediatric-type diffuse low-grade glioma are low-grade pediatric gliomas with MAP kinase pathway alterations, but it is the wrong specific entity."
19161.0,gpt-oss-20b (H),on_device_base,Musculoskeletal system,Mycobacterium kansasii tenosynovitis,Tuberculous tenosynovitis,tuberculous tenosynovitis,"Rheumatoid arthritis, Juvenile idiopathic arthritis, Adult Still’s disease, Tuberculous tenosynovitis, Mycobacterium kansasii tenosynovitis, Atypical mycobacterial infection (Mycobacterium marinum), Bacterial tenosynovitis, Fungal infections",c,"The prediction ""Tuberculous tenosynovitis"" is a plausible differential diagnosis on the provided list, but the correct answer is ""Mycobacterium kansasii tenosynovitis,"" a distinct non-tuberculous mycobacterial species."
19163.0,gpt-oss-20b (H),on_device_base,Neuroradiology,"Sturge–Weber syndrome, type 1",Sturge–Weber syndrome,sturge-weber syndrome,"Meningioangiomatosis, Blue rubber bleb nevus syndrome, Wyburn-Mason syndrome, Sturge–Weber syndrome, type 1, PHACE syndrome",a,"The prediction ""Sturge–Weber syndrome"" is clinically the same condition as the ground truth ""Sturge–Weber syndrome, type 1,"" differing only in the omission of the subtype specification, making it a surface form mismatch."
